source,section_id,title,source_path,normalized_sha256,proposed_target,proposed_treatment,atomic_mapping,verification,heading,end_before_heading
SOT,SOT-01,Intake neuer Informationen,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,e5209b502c88ed2fa8602a36f6cc37733a61ceb48e909b121f09aa5fce6883ae,ST-SOT-12,PRESERVED,PENDING,PENDING,,
SOT,SOT-02,Statusmodell,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,3908e549e37081ca23787b295c94f9bf75a6971068257bc704d94b4cd48e3e6f,ST-SOT-15,PRESERVED,PENDING,PENDING,,
SOT,SOT-03,SoT Impact Check,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,b15e46e685f2d7292159a8185534ebc0f78bcad154154c9f9554a79bb4e63eda,ST-SOT-13,EXTENDED,PENDING,PENDING,,
SOT,SOT-04,Conflict Check,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,9e7084f675d82e3215e75b37fdb28aa8bb7ab3d11530105a08ef3ac5790beee3,ST-SOT-14,EXTENDED,PENDING,PENDING,,
SOT,SOT-05,Keine automatische Verbindlichkeit,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,9e84465dc3413377c613bda15c460ce0b37f338fe019e48285a693a4bb79433f,ST-SOT-15,PRESERVED,PENDING,PENDING,,
SOT,SOT-06,Freigabe,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,e0ce3fa6d7c4766e66f8c1a94a2118193d3dfa923720f1c4306521d9c25b5242,ST-SOT-15,PRESERVED,PENDING,PENDING,,
SOT,SOT-07,Aktualisierung der Source of Truth,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,856f9452ea90c40ad3adb06b78d58e035111be5e0ecb991bfc75eb164a25b536,ST-SOT-16,EXTENDED,PENDING,PENDING,,
SOT,SOT-08,Nachgelagerte Konsistenzprüfung,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,53ba8c0d83b8e11bd6bc5b7835bf8081cb6928aaeef6e90dd4c3df7b9889ee11,ST-SOT-17,EXTENDED,PENDING,PENDING,,
SOT,SOT-09,Verbindlicher Workflow,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,f57babfe92cbfde4a5c052ecaf41758cda2fd91607d2a789f24e3cb88a0b5329,ST-SOT-12..17,EXTENDED,PENDING,PENDING,,
SOT,SOT-10,Definition of Done,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,392983f10c41abf31a77b06c0d4fbadefa162980c785dfe429964b571136cc90,ST-SOT-18,EXTENDED,PENDING,PENDING,,
SOT,SOT-11,Harte Abschlussregel,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,87a738612dd3efedd18c881fa52437e3562f147238e9158225c023039b8e46ff,ST-SOT-18,PRESERVED,PENDING,PENDING,,
