WebAsset,SourceID,EvidenceManifest,ProjectCopy,PlanningMapping,PlanningCoverage,ImplementationVerification,Decision
assets/bikes/sardinien-bikes-am-camper-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\sardinien-2019\DSC_0273.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/sardinien-mountainbikes-meer-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\sardinien-2019\DSC_0279.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-anfang-2018-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0055_1.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-baumtour-2022-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_2211.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-fahrwerk-detail-2022-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_2032.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-genius-black-beauty-2020-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0888.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-italien-bergpause-2021-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_1712-archive.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-leogang-2020-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\PA131105.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-leogang-park-2020-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\PA131111.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-leogang-trail-2020-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\PA131104.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-rahmen-detail-2020-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0887.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-reise-2026-gallery-v2.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\google-photos-incoming\20260809_133850.jpg,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-reise-2026-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\google-photos-incoming\20260809_133853.jpg,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-schlammtour-2024-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\20240505_132315.jpg,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-seitenprofil-2019-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0478.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-tourenpause-2022-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_2199.JPG,ST-PHOTO-02,Duplicate,Retired / superseded by approved Scott pause,No per-motif publication approval inferred
assets/bikes/scott-wiesenpause-2019-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0415.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/bikes/scott-wintertour-2019-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\scott-genius\DSC_0085_1.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/hero-norway-v1.webp,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\home-hero\P7040212.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/hero-norway.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\home-hero\P7040212.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/heroes/norwegen-2018.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\hero-reference\norwegen-2018\P7100548.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/heroes/sardinien-2019.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\hero-reference\sardinien-2019\_5290597.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/california-ledro-natur.png,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round3-2026-09-24/manifest.json,review\selected-originals\travel-inline\italien-2021\DSC_1701.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/campo-imperatore-natur.png,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\travel-inline\italien-2021\DSC_1809.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-0003-5.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_0003_5.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1703.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1703.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1719.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round2-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1719.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1744.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1744.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1759.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1759.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1805.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1805.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/gallery/dsc-1809.jpg,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\italien-2021\DSC_1809.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/lago-di-ledro-abend-natur.png,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\travel-inline\italien-2021\DSC_1703.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/toskana-abendlicht-natur.png,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,review\selected-originals\travel-inline\italien-2021\DSC_1727.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
assets/reisen/italien-2021/treibholz-strand-natur.png,"SRC-0510,SRC-0522",review/graded-previews/sitewide-second-pass-round1-2026-09-24/manifest.json,reisebilder-originale\italien-2021\DSC_0076.JPG,"ST-PHOTO-02,ST-PHOTO-07",Covered,Existing private preview / motif verification and web release pending,No per-motif publication approval inferred
