source_section,clause_id,source_anchor,requirement,target_story,proposed_treatment,implementation_status,semantic_verification,planned_check
WSJF-01,WSJF-01.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L37-L56,"WSJF ist Cost of Delay geteilt durch Job Size; Cost of Delay summiert Business Value, Time Criticality und Risk Reduction/Opportunity Enablement.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Fixture mit BV 13, TC 5, RR 3, Size 5 ergibt CoD 21 und WSJF 4.2; kein Auto-Start."
WSJF-01,WSJF-01.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L37-L56,Codex schlägt alle Eingabewerte automatisch vor; WSJF ist Priorisierungshilfe und keine automatische Ausführungsentscheidung.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Fixture mit BV 13, TC 5, RR 3, Size 5 ergibt CoD 21 und WSJF 4.2; kein Auto-Start."
WSJF-02,WSJF-02.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L57-L76,"Für alle vier Eingabewerte gilt ausschließlich die relative Skala 1,2,3,5,8,13,20 ohne Zwischenwerte.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Feldvalidierung akzeptiert 1,2,3,5,8,13,20 und verwirft Zwischenwert 4."
WSJF-02,WSJF-02.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L57-L76,Skalenbedeutung von sehr gering (1) bis extrem (20) bleibt erhalten.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Feldvalidierung akzeptiert 1,2,3,5,8,13,20 und verwirft Zwischenwert 4."
WSJF-03,WSJF-03.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L77-L110,"Codex schlägt Business Value anhand von Nutzwert, Nutzungshäufigkeit, zentralen Workflows, Kundenwert, Projektzielen, Problemen und Enabler-Wirkung mit Begründung vor.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Proposed BV wird begründet; Confirmed und Overridden bleiben nach Re-Evaluation identisch.
WSJF-03,WSJF-03.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L77-L110,"Business Value trägt Status Proposed, Confirmed oder Overridden; Standard ist Proposed.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Proposed BV wird begründet; Confirmed und Overridden bleiben nach Re-Evaluation identisch.
WSJF-03,WSJF-03.03,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L77-L110,Bestätigte oder überschriebene Business Values haben Vorrang und werden nie automatisch geändert.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Proposed BV wird begründet; Confirmed und Overridden bleiben nach Re-Evaluation identisch.
WSJF-04,WSJF-04.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L111-L130,"Codex bewertet Time Criticality anhand von Fristen, Releases, Saison, externen Abhängigkeiten, Blockaden und Wertverlust mit Begründung; manuelle Bestätigung ist standardmäßig entbehrlich.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story mit Deadline und blockiertem Nachfolger erhält begründeten TC-Vorschlag ohne Pflichtbestätigung.
WSJF-05,WSJF-05.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L131-L161,"Codex bewertet Risk Reduction anhand technischer, Sicherheits-, Datenschutz-, Vendor-, Architektur- und Annahmerisiken mit Begründung.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Risiko- und Enabler-Fixture erzeugen je begründete RR/OE-Bewertung.
WSJF-05,WSJF-05.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L131-L161,"Codex bewertet Opportunity Enablement anhand freigeschalteter Stories, wiederverwendbarer Fähigkeiten, neuer Produktmöglichkeiten und geringerem Folgeaufwand mit Begründung.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Risiko- und Enabler-Fixture erzeugen je begründete RR/OE-Bewertung.
WSJF-06,WSJF-06.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L162-L190,"Codex bewertet Job Size relativ zum tatsächlichen Repositoryzustand einschließlich Komponenten, UI, Backend, API, Datenbank, Migrationen, Tests, Security und Unsicherheit.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Repository-Fixture mit UI/API/DB/Test-Änderung erzeugt relative Size statt Zeitangabe.
WSJF-06,WSJF-06.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L162-L190,"Job Size ist keine Zeitabschätzung und verwendet nur 1,2,3,5,8,13,20.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Repository-Fixture mit UI/API/DB/Test-Änderung erzeugt relative Size statt Zeitangabe.
WSJF-07,WSJF-07.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L191-L211,"Bei Job Size 13 oder 20 prüft Codex automatisch eine Zerlegung in kleinere vertikale, eigenständig wertliefernde Stories.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story mit Size 13 löst Zerlegungsprüfung aus; Split bewahrt AC/Traceability und berechnet neue WSJF.
