TaskID,ParentStory,SourceID,SourceStatus,TaskOrConstraint
TASK-0001,ST-AUTH-01,"SRC-0373,SRC-1036",Existing / Verify,"Private Redaktion/Cockpit-Routen, Rollen und Sitzungen prüfen; Cockpit zusätzlich gegen noindex, no-store und dieselben HTTPS-/Cookie-Regeln wie Redaktion verifizieren."
TASK-0002,ST-INS-01,SRC-0374,Existing / Verify,"- ~~Verschlüsselte Google-/YouTube-Verbindung, manueller und zeitgesteuerter Sync, Datenbanksperre, Monitoring, Audit-Log und automatisierte Tests.~~"
TASK-0003,ST-INS-01,SRC-0375,Existing / Verify,"- ~~Erster Import mit 25 Videos, 33 Kanal-Tageswerten, 825 Video-Tageswerten und allen damals fälligen Snapshots.~~"
TASK-0004,ST-INS-01,SRC-0376,Existing / Verify,"- ~~Dashboard, Video-Liste, Content Planner, Master Context und regelbasierte Basis-Insights.~~"
TASK-0005,ST-INS-01,SRC-0377,Existing / Verify,"- ~~Format- und Content-Audit: 2 aktuelle Shorts, 4 Legacy-Clips, 19 Longforms sowie Keep-/Repackage-/Nicht-weiterverfolgen-Entscheidungen.~~"
TASK-0006,ST-INS-01,SRC-0378,Existing / Verify,- ~~Sicherer Audit-Export V2; anonym ist der Endpunkt nicht erreichbar.~~
TASK-0007,ST-CON-01,SRC-0379,Existing / Verify,"- ~~Drei nächste Tests im Live-Planner als `validated`: VAN (Hymer Langzeiterfahrung), EXPLORE (California → Hymer), MOVE (Bike oder Kajak / Basecamp).~~"
TASK-0008,ST-CON-02,SRC-0379,Existing / Verify,"- ~~Drei nächste Tests im Live-Planner als `validated`: VAN (Hymer Langzeiterfahrung), EXPLORE (California → Hymer), MOVE (Bike oder Kajak / Basecamp).~~"
TASK-0009,ST-CON-03,SRC-0379,Existing / Verify,"- ~~Drei nächste Tests im Live-Planner als `validated`: VAN (Hymer Langzeiterfahrung), EXPLORE (California → Hymer), MOVE (Bike oder Kajak / Basecamp).~~"
TASK-0010,ST-CON-01,SRC-0380,Existing / Verify,"- ~~Low-Effort-Creator-System mit Vorher-/Währenddessen-/Danach-Checkliste, festem Wiederverwendungsablauf sowie geschätzten und tatsächlichen Stunden im Planner.~~"
TASK-0011,ST-OPS-01,"SRC-0381,SRC-1040",Existing / Verify,Release-Prüfung und Restorebeleg führen; additive Cockpit-Migration gegen Redaktionstabellen/-daten und veröffentlichte Reiseberichte mit Schema-/Datenvergleich als Negativregression prüfen.
TASK-0012,ST-WEB-03,SRC-0382,Existing / Verify,Cross-route verification of the shared keyboard-accessible photo viewer remains in the release/coverage slice; SEO basis is tracked in its responsible story.
TASK-0013,ST-SEO-01,SRC-0382,Existing / Verify,"- ~~Öffentliche HTTPS-Website, SEO-Basis und gemeinsamer, tastaturbedienbarer Foto-Viewer.~~"
TASK-0014,ST-AN-01,SRC-0386,Planned,"- [ ] **ANALYTICS 0.1 – Bestand aufnehmen.** Routen, Generatoren, CMS-Status, Auth/Rollen, Preview/Publishing, bestehendes Tracking, Umgebungen, Docker, PostgreSQL, CSP, Datenschutzlogik, Tests und Projektregeln prüfen. **Abnahme:** Ist-Zustand und wiederverwendbare Integrationspunkte sind mit Quellen belegt."
TASK-0015,ST-AN-01,SRC-0387,Planned,"- [ ] **ANALYTICS 0.2 – Konflikte und Betriebsentscheidungen klären.** Konkrete Dateistruktur, Hosting und Zugang für Umami, Datenaufbewahrung, nötige Datenschutz-/Consent-Entscheidungen und Berührungspunkte mit CMS 1–3 sowie Cockpit dokumentieren. Konflikte mit geltenden Regeln vor betroffenem Code entscheiden. **Abnahme:** Ein umsetzbarer, begrenzter erster Release ist beschrieben; keine bestehende Funktion wird stillschweigend ersetzt."
TASK-0016,ST-AN-01,SRC-0389,Planned,"- [ ] **ANALYTICS 1.1 – Zentrale Spezifikation vervollständigen.** `docs/analytics.md` anhand ANALYTICS 0 mit API, Policy, Events, Schema-Version, Properties, Content-IDs, Provider-Mapping, Umgebungen, Sicherheit, Datenschutz, Performance und Testfällen konkretisieren. **Abnahme:** Projektregeln verweisen darauf; es gibt keine zweite aktive Analytics-Spezifikation."
TASK-0017,ST-AN-01,SRC-0390,Planned,"- [ ] **ANALYTICS 1.2 – IDs und Eventschema v1 festlegen.** Bestehende stabile Content-IDs wiederverwenden; englische `snake_case`-Eventnamen, erlaubte Properties, Typen, Längen und Versionierung für `page_view` sowie die priorisierten Content-Ereignisse festhalten. **Abnahme:** Umbenannte URLs ändern die Content-Identität nicht; keine freien Eingabestrings als Events."
TASK-0018,ST-AN-01,SRC-0392,Planned,"- [ ] **ANALYTICS 2.1 – Policy und Null-Provider.** `pageView`/`track` zentral anbieten; nur anonyme Aufrufe veröffentlichter öffentlicher Inhalte in Production zulassen. Login, Admin/Editor, CMS, Draft, Planned, Preview, localhost, Development, Tests und standardmäßig Staging wählen den Null-Provider. **Abnahme:** In diesen Fällen lädt kein externes Script und es entsteht keine Analytics-Anfrage, auch auf öffentlichen Seiten bei Login."
TASK-0019,ST-AN-01,SRC-0393,Planned,"- [ ] **ANALYTICS 2.2 – Daten vor Versand begrenzen.** Eventnamen und Properties validieren, Unbekanntes verwerfen, Längen begrenzen, sensible Daten entfernen, Routen ohne unbekannte Query-Parameter normalisieren und UTM-Werte kontrolliert behandeln. **Abnahme:** Namen, E-Mail, IDs von Benutzern, Formulareingaben, Freitext und Auth-Daten gelangen nicht in Events."
TASK-0020,ST-AN-01,SRC-0394,Planned,"- [ ] **ANALYTICS 2.3 – Provider-Vertrag absichern.** Provider zentral per Konfiguration wählen, Umami-/Null-Adapter isolieren und einen Architekturtest gegen direkte Provider-Aufrufe außerhalb des Adapterbereichs einführen. **Abnahme:** Der Core funktioniert mit Null-Provider ohne Netzwerkzugriff; Content-Komponenten kennen keinen Anbieter."
TASK-0021,ST-AN-01,SRC-0396,Planned,"- [ ] **ANALYTICS 3.1 – Umami betriebsbereit anbinden.** Hosting, Konfiguration, minimale CSP-Freigaben, asynchrones Laden und fehlerfestes Mapping über den Adapter umsetzen; Umami Identify bleibt aus. Automatische Pageviews so einstellen, dass VanVenture allein `page_view` auslöst. **Abnahme:** Provider-Ausfall blockiert weder Rendering noch Navigation."
TASK-0022,ST-AN-01,SRC-0397,Planned,"- [ ] **ANALYTICS 3.2 – Referenzseite live messen.** Eine veröffentlichte öffentliche Seite über die zentrale API anbinden und nach regulärem Rollout echten Aufruf sowie Ausschluss eines eingeloggten Admins prüfen. **Wert:** Der erste nutzbare, unverfälschte Seitenaufrufbericht ist verfügbar."
TASK-0023,ST-AN-02,SRC-0398,Planned,"- [ ] **ANALYTICS 3.3 – Öffentliche Seiten vollständig anbinden.** Startseite, Sprachversionen und vorhandene Seitentypen über gemeinsame Einbindestellen und Generatoren erfassen; pro Page View höchstens ein Event. Private Routen bleiben ausgeschlossen. **Wert:** Traffic je veröffentlichter Seite ist vergleichbar, ohne Analytics-Code in einzelnen Inhalten."
TASK-0024,ST-AN-02,SRC-0399,Superseded / duplicate,CMS-Revision-Pageviews sind ausschließlich TASK-0025 unter ST-AN-08; kein zweiter gleichlautender Task unter ST-AN-02.
TASK-0025,ST-AN-08,SRC-0399,Planned,- [ ] **ANALYTICS 3.4 – Künftige CMS-Seiten anschließen.** Nach CMS 3 nur die Published Revision über denselben Einstieg messen; Working Revision und geschützte Vorschau bleiben ohne Script und Netzwerkanfrage. **Abnahme:** Eine neue öffentliche CMS-Seite braucht keinen Tracking-Code im Inhalt. Diese Story hängt von CMS 3 ab und blockiert ANALYTICS 4–8 nicht.
TASK-0026,ST-AN-03,SRC-0401,Planned,"- [ ] **ANALYTICS 4.1 – Ausgehende Content-Klicks.** `youtube_click`, `instagram_click`, `facebook_click` und `gear_click` an gemeinsamen Link-/CTA-Stellen mit erlaubtem `destination_type` erfassen. **Wert:** Sichtbar wird, welche Inhalte Besucher zu Videos, Social oder Ausrüstung führen; Klick und Navigation funktionieren auch bei Provider-Ausfall."
TASK-0027,ST-AN-09,SRC-0402,Planned,"- [ ] **ANALYTICS 4.2 – Interne Orientierung.** `gallery_open`, `related_content_click`, `cta_click`, `language_switch` und `error_404_view` nur an passenden zentralen Komponenten/Routen ergänzen. **Abnahme:** Jede Aktion erzeugt höchstens ein Ereignis, auch per Tastatur oder Mobilbedienung; Galeriedesign und Foto-Viewer bleiben unverändert."
