AtomicID,SourceID,Source,Line,Clause,OriginalFullTextRef,PlanningMapping,PlanningCoverage,ImplementationStatus,ImplementationNote,AtomicityReview,ReviewClassification,RequirementID,SuccessorIDs,RequirementText,ConcreteTarget,SemanticResult,ReviewReason,OpenQuestion,ReviewedSourceSHA256,ReviewPackage,BlockCoverageCheck
SRC-0001.a,SRC-0001,AGENTS.md,5,- Alle neuen und bestehenden Projektpläne müssen der verbindlichen [Scrum-Planungsregel](docs/project-rules/scrum-planning.md) entsprechen.,traceability-matrix.csv#SRC-0001,constraint-register.md#src-0001,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0001.a,,- Alle neuen und bestehenden Projektpläne müssen der verbindlichen [Scrum-Planungsregel](docs/project-rules/scrum-planning.md) entsprechen.,constraint-register.md#src-0001,Complete planning target checked against source condition and exception,Binds every new and existing plan to the approved Scrum rule.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0001.b,SRC-0001,AGENTS.md,5,Bestehende Pläne dürfen erst nach vollständiger Migration und bestandenem Coverage-/Traceability-Check ersetzt oder entfernt werden.,traceability-matrix.csv#SRC-0001,constraint-register.md#src-0001,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0001.b,,Bestehende Pläne dürfen erst nach vollständiger Migration und bestandenem Coverage-/Traceability-Check ersetzt oder entfernt werden.,constraint-register.md#src-0001,Complete planning target checked against source condition and exception,Requires completed migration and passed coverage before replacement/removal.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0002.a,SRC-0002,AGENTS.md,10,"- Before adding or changing a website analytics event, read [`docs/analytics.md`](docs/analytics.md).",traceability-matrix.csv#SRC-0002,constraint-register.md#src-0002,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0002.a,,"- Before adding or changing a website analytics event, read [`docs/analytics.md`](docs/analytics.md).",constraint-register.md#src-0002,Complete planning target checked against source condition and exception,Makes the analytics specification a prerequisite before event changes.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0002.b,SRC-0002,AGENTS.md,10,"Define event names and properties there, never ad hoc in a page or component.",traceability-matrix.csv#SRC-0002,constraint-register.md#src-0002,Covered,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Functional requirement,SRC-0002.b,,"Define event names and properties there, never ad hoc in a page or component.","ST-AN-01#Acceptance-Criteria,constraint-register.md#src-0002",Complete planning target checked against source condition and exception,Central event/property definitions and the ban on page-local inventions are independently testable.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0002.c,SRC-0002,AGENTS.md,10,Provider-specific analytics code is allowed only inside the analytics provider adapter;,traceability-matrix.csv#SRC-0002,constraint-register.md#src-0002,Covered,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Functional requirement,SRC-0002.c,,Provider-specific analytics code is allowed only inside the analytics provider adapter;,"ST-AN-01#Acceptance-Criteria,constraint-register.md#src-0002",Complete planning target checked against source condition and exception,"Provider code must be confined to the adapter, an architectural boundary.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0002.d,SRC-0002,AGENTS.md,10,the active task list is in [`docs/ausbauplan.md`](docs/ausbauplan.md).,traceability-matrix.csv#SRC-0002,constraint-register.md#src-0002,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0002.d,,the active task list is in [`docs/ausbauplan.md`](docs/ausbauplan.md).,constraint-register.md#src-0002,Complete planning target checked against source condition and exception,"Identifies the authoritative active task list, not a second feature backlog.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0003.a,SRC-0003,AGENTS.md,16,"- Every completed project task must update every affected plan, overview, and implementation-status document in the same turn.",traceability-matrix.csv#SRC-0003,constraint-register.md#src-0003,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0003.a,,"- Every completed project task must update every affected plan, overview, and implementation-status document in the same turn.",constraint-register.md#src-0003,Complete planning target checked against source condition and exception,Requires same-turn reconciliation of every affected planning/status document.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0003.b,SRC-0003,AGENTS.md,16,The status must distinguish local preparation from a verified live rollout and name remaining work plainly.,traceability-matrix.csv#SRC-0003,constraint-register.md#src-0003,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0003.b,,The status must distinguish local preparation from a verified live rollout and name remaining work plainly.,constraint-register.md#src-0003,Complete planning target checked against source condition and exception,"Requires local, live and remaining-work statuses to be distinguished.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0004.a,SRC-0004,AGENTS.md,19,"- Before reporting completion, reconcile duplicate status entries across the relevant plan documents so they never contradict one another.",traceability-matrix.csv#SRC-0004,constraint-register.md#src-0004,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0004.a,,"- Before reporting completion, reconcile duplicate status entries across the relevant plan documents so they never contradict one another.",constraint-register.md#src-0004,Complete planning target checked against source condition and exception,Prevents contradictory duplicate status entries before completion is reported.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0005.a,SRC-0005,AGENTS.md,24,"- For VanVenture work, read the binding consolidated mandate in [`docs/vanventure-gesamtauftrag-mit-pruefung-und-freigaben.md`](docs/vanventure-gesamtauftrag-mit-pruefung-und-freigaben.md) before starting a relevant implementation.",traceability-matrix.csv#SRC-0005,constraint-register.md#src-0005,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0005.a,,"- For VanVenture work, read the binding consolidated mandate in [`docs/vanventure-gesamtauftrag-mit-pruefung-und-freigaben.md`](docs/vanventure-gesamtauftrag-mit-pruefung-und-freigaben.md) before starting a relevant implementation.",constraint-register.md#src-0005,Complete planning target checked against source condition and exception,Requires reading the consolidated mandate before relevant implementation.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
